Item,Color,color_utterance,Combo,MeanTypicality,YMin,YMax
apple,blue,black,blue apple,0.044,0.018,0.0785
apple,blue,blue,blue apple,0.896,0.848329166666667,0.931170833333333
apple,blue,brown,blue apple,0.076,0.022325,0.142675
apple,blue,green,blue apple,0.145,0.0688461538461538,0.238855769230769
apple,blue,orange,blue apple,0.022,0.00588235294117647,0.05
apple,blue,pink,blue apple,0.054,0.0185625,0.0950089285714286
apple,blue,red,blue apple,0.06,0.0144444444444444,0.124444444444444
apple,blue,yellow,blue apple,0.078,0.00941176470588236,0.182367647058824
apple,green,black,green apple,0.013,0.00526315789473684,0.0210657894736842
apple,green,blue,green apple,0.069,0.00444444444444445,0.182222222222222
apple,green,brown,green apple,0.063,0.0220689655172414,0.111741379310345
apple,green,green,green apple,0.791,0.741154166666667,0.837008333333333
apple,green,orange,green apple,0.027,0.005625,0.0575
apple,green,pink,green apple,0.08,0.0260714285714286,0.146830357142857
apple,green,red,green apple,0.088,0.0309833333333333,0.15835
apple,green,yellow,green apple,0.187,0.12465,0.254011111111111
apple,red,black,red apple,0.085,0.0374074074074074,0.147407407407407
apple,red,blue,red apple,0.079,0.0242678571428571,0.148928571428571
apple,red,brown,red apple,0.231,0.141153846153846,0.323115384615385
apple,red,green,red apple,0.045,0.0122222222222222,0.0844537037037037
apple,red,orange,red apple,0.085,0.0444827586206897,0.13725
apple,red,pink,red apple,0.132,0.0775882352941177,0.193544117647059
apple,red,red,red apple,0.762,0.712154166666667,0.806675
apple,red,yellow,red apple,0.011,0.00125,0.02625
avocado,black,black,black avocado,0.952,0.905320833333333,0.981004166666667
avocado,black,blue,black avocado,0.087,0.0448148148148148,0.14337037037037
avocado,black,brown,black avocado,0.103,0.0264875,0.2085125
avocado,black,green,black avocado,0.032,0.0142105263157895,0.0515789473684211
avocado,black,orange,black avocado,0.009,0.000625000000000001,0.023125
avocado,black,pink,black avocado,0.088,0.02719,0.1744
avocado,black,red,black avocado,0.107,0.0366481481481482,0.197435185185185
avocado,black,yellow,black avocado,0.036,0.0119916666666667,0.0670083333333333
avocado,green,black,green avocado,0.09,0.0393083333333333,0.153691666666667
avocado,green,blue,green avocado,0.067,0.029301724137931,0.117603448275862
avocado,green,brown,green avocado,0.135,0.075,0.196666666666667
avocado,green,green,green avocado,0.642,0.5769875,0.6990125
avocado,green,orange,green avocado,0.028,0.00833333333333333,0.056125
avocado,green,pink,green avocado,0.055,0.0196666666666667,0.104675
avocado,green,red,green avocado,0.018,0.00294117647058824,0.0358823529411765
avocado,green,yellow,green avocado,0.053,0.018125,0.0975468749999999
avocado,red,black,red avocado,0.066,0.0199852941176471,0.128838235294118
avocado,red,blue,red avocado,0.028,0.013,0.0465
avocado,red,brown,red avocado,0.368,0.268612068965517,0.466905172413793
avocado,red,green,red avocado,0.084,0.0310526315789474,0.158973684210526
avocado,red,orange,red avocado,0.075,0.0407407407407407,0.115925925925926
avocado,red,pink,red avocado,0.116,0.0549875,0.181025
avocado,red,red,red avocado,0.528,0.471495833333333,0.585179166666667
avocado,red,yellow,red avocado,0.029,0.0112395833333333,0.0529166666666667
banana,blue,black,blue banana,0.051,0.0221339285714286,0.0814285714285714
banana,blue,blue,blue banana,0.917,0.889166666666667,0.9433375
banana,blue,brown,blue banana,0.007,0.0036,0.0108
banana,blue,green,blue banana,0.017,0.00476190476190476,0.0333333333333333
banana,blue,orange,blue banana,0.093,0.01625,0.2000625
banana,blue,pink,blue banana,0.045,0.0186206896551724,0.0775862068965517
banana,blue,red,blue banana,0.057,0.001875,0.161890625
banana,blue,yellow,blue banana,0.058,0.0239130434782609,0.0978369565217391
banana,brown,black,brown banana,0.204,0.085625,0.32946875
banana,brown,blue,brown banana,0.059,0.0121052631578947,0.149486842105263
banana,brown,brown,brown banana,0.868,0.815654166666667,0.907341666666667
banana,brown,green,brown banana,0.058,0.0234519230769231,0.102692307692308
banana,brown,orange,brown banana,0.081,0.0123529411764706,0.160014705882353
banana,brown,pink,brown banana,0.04,0.0146666666666667,0.0706833333333333
banana,brown,red,brown banana,0.072,0.0158333333333333,0.14584375
banana,brown,yellow,brown banana,0.047,0.01,0.101940476190476
banana,yellow,black,yellow banana,0.061,0.0263333333333333,0.104333333333333
banana,yellow,blue,yellow banana,0.063,0.02125,0.120833333333333
banana,yellow,brown,yellow banana,0.108,0.0331447368421053,0.198960526315789
banana,yellow,green,yellow banana,0.031,0.01,0.0664705882352941
banana,yellow,orange,yellow banana,0.219,0.14559375,0.315015625
banana,yellow,pink,yellow banana,0.079,0.030712962962963,0.140759259259259
banana,yellow,red,yellow banana,0.073,0.020375,0.133855769230769
banana,yellow,yellow,yellow banana,0.766,0.708833333333333,0.818175
carrot,brown,black,brown carrot,0.168,0.05265,0.31335
carrot,brown,blue,brown carrot,0.075,0.0213333333333333,0.133333333333333
carrot,brown,brown,brown carrot,0.86,0.74665,0.932
carrot,brown,green,brown carrot,0.068,0.0153166666666667,0.129333333333333
carrot,brown,orange,brown carrot,0.101,0.0333333333333333,0.17535
carrot,brown,pink,brown carrot,0.135,0.0326666666666667,0.279366666666667
carrot,brown,red,brown carrot,0.105,0.0219833333333333,0.228016666666667
carrot,brown,yellow,brown carrot,0.094,0.0213333333333333,0.186716666666667
carrot,orange,black,orange carrot,0.056,0.0226583333333333,0.0920166666666666
carrot,orange,blue,orange carrot,0.059,0.0265384615384615,0.0957788461538461
carrot,orange,brown,orange carrot,0.141,0.0628452380952381,0.233357142857143
carrot,orange,green,orange carrot,0.048,0.0203846153846154,0.0780865384615385
carrot,orange,orange,orange carrot,0.889,0.832795833333333,0.934179166666667
carrot,orange,pink,orange carrot,0.112,0.040609375,0.215625
carrot,orange,red,orange carrot,0.162,0.071234375,0.25753125
carrot,orange,yellow,orange carrot,0.188,0.110588235294118,0.280602941176471
carrot,pink,black,pink carrot,0.048,0.0196,0.0872
carrot,pink,blue,pink carrot,0.025,0.0111764705882353,0.0441176470588235
carrot,pink,brown,pink carrot,0.051,0.0225,0.0920833333333333
carrot,pink,green,pink carrot,0.046,0.0025,0.126875
carrot,pink,orange,pink carrot,0.079,0.0253303571428571,0.158232142857143
carrot,pink,pink,pink carrot,0.498,0.439154166666667,0.556679166666667
carrot,pink,red,pink carrot,0.153,0.0966583333333333,0.222008333333333
carrot,pink,yellow,pink carrot,0.058,0.022962962962963,0.0959351851851852
pear,green,black,green pear,0.056,0.011,0.1355
pear,green,blue,green pear,0.07,0.0319833333333333,0.114
pear,green,brown,green pear,0.053,0.0089875,0.122525
pear,green,green,green pear,0.64,0.571145833333333,0.697508333333333
pear,green,orange,green pear,0.092,0.0356583333333333,0.157675
pear,green,pink,green pear,0.048,0.013448275862069,0.086551724137931
pear,green,red,green pear,0.073,0.0219047619047619,0.15047619047619
pear,green,yellow,green pear,0.307,0.211652777777778,0.399486111111111
pear,orange,black,orange pear,0.056,0.0146666666666667,0.113008333333333
pear,orange,blue,orange pear,0.102,0.00764705882352941,0.240632352941176
pear,orange,brown,orange pear,0.107,0.0431447368421053,0.178960526315789
pear,orange,green,orange pear,0.032,0.004375,0.0825
pear,orange,orange,orange pear,0.831,0.7855,0.869175
pear,orange,pink,orange pear,0.123,0.0706416666666667,0.175333333333333
pear,orange,red,orange pear,0.156,0.0980925925925926,0.226694444444444
pear,orange,yellow,orange pear,0.121,0.064359375,0.204375
pear,yellow,black,yellow pear,0.057,0.0207314814814815,0.108898148148148
pear,yellow,blue,yellow pear,0.053,0.0165288461538462,0.0973173076923077
pear,yellow,brown,yellow pear,0.234,0.139984375,0.335640625
pear,yellow,green,yellow pear,0.099,0.0258676470588235,0.201764705882353
pear,yellow,orange,yellow pear,0.341,0.244435185185185,0.442240740740741
pear,yellow,pink,yellow pear,0.031,0.014375,0.05125
pear,yellow,red,yellow pear,0.057,0.0233333333333333,0.0933425925925926
pear,yellow,yellow,yellow pear,0.703,0.650645833333333,0.751333333333333
pepper,black,black,black pepper,0.838,0.674666666666667,0.9547
pepper,black,blue,black pepper,0.115,0.026,0.229333333333333
pepper,black,brown,black pepper,0.128,0.0366666666666667,0.242
pepper,black,green,black pepper,0.101,0.0239833333333333,0.202016666666667
pepper,black,orange,black pepper,0.063,0.02265,0.107366666666667
pepper,black,pink,black pepper,0.04,0.0126666666666667,0.0733333333333333
pepper,black,red,black pepper,0.118,0.03,0.226683333333333
pepper,black,yellow,black pepper,0.073,0.02065,0.132033333333333
pepper,green,black,green pepper,0.044,0.0161538461538462,0.0861826923076923
pepper,green,blue,green pepper,0.112,0.0482053571428571,0.1896875
pepper,green,brown,green pepper,0.071,0.0340909090909091,0.123647727272727
pepper,green,green,green pepper,0.929,0.895329166666667,0.957
pepper,green,orange,green pepper,0.142,0.0507307692307692,0.248086538461538
pepper,green,pink,green pepper,0.025,0.00333333333333333,0.0641666666666667
pepper,green,red,green pepper,0.074,0.0172,0.1528
pepper,green,yellow,green pepper,0.048,0.01375,0.093171875
pepper,orange,black,orange pepper,0.032,0.00777777777777778,0.0666805555555555
pepper,orange,blue,orange pepper,0.059,0.011875,0.126265625
pepper,orange,brown,orange pepper,0.285,0.1885625,0.389285714285714
pepper,orange,green,orange pepper,0.053,0.024325,0.0873333333333333
pepper,orange,orange,orange pepper,0.787,0.744983333333333,0.827670833333333
pepper,orange,pink,orange pepper,0.036,0.0132053571428571,0.0646517857142857
pepper,orange,red,orange pepper,0.141,0.0779137931034483,0.221034482758621
pepper,orange,yellow,orange pepper,0.169,0.101833333333333,0.242601851851852
pepper,red,black,red pepper,0.019,0.001875,0.04125
pepper,red,blue,red pepper,0.018,0.006875,0.03125
pepper,red,brown,red pepper,0.085,0.0425833333333333,0.135953703703704
pepper,red,green,red pepper,0.087,0.0329259259259259,0.155564814814815
pepper,red,orange,red pepper,0.276,0.177194444444444,0.370611111111111
pepper,red,pink,red pepper,0.16,0.0619047619047619,0.269559523809524
pepper,red,red,red pepper,0.864,0.825666666666667,0.900170833333333
pepper,red,yellow,red pepper,0.049,0.0167857142857143,0.0875089285714286
tomato,green,black,green tomato,0.043,0.0138461538461538,0.0769230769230769
tomato,green,blue,green tomato,0.05,0.01,0.111557692307692
tomato,green,brown,green tomato,0.081,0.0264705882352941,0.153544117647059
tomato,green,green,green tomato,0.817,0.769666666666667,0.860504166666667
tomato,green,orange,green tomato,0.064,0.0303703703703704,0.0996296296296296
tomato,green,pink,green tomato,0.03,0.00720833333333333,0.0600277777777777
tomato,green,red,green tomato,0.064,0.003125,0.168234375
tomato,green,yellow,green tomato,0.058,0.016875,0.111875
tomato,pink,black,pink tomato,0.013,0.0035,0.024
tomato,pink,blue,pink tomato,0.075,0.03,0.1339375
tomato,pink,brown,pink tomato,0.012,0.00375,0.02375
tomato,pink,green,pink tomato,0.058,0.0217241379310345,0.104491379310345
tomato,pink,orange,pink tomato,0.106,0.0135294117647059,0.232955882352941
tomato,pink,pink,pink tomato,0.515,0.448666666666667,0.583845833333333
tomato,pink,red,pink tomato,0.111,0.0653846153846154,0.165403846153846
tomato,pink,yellow,pink tomato,0.031,0.0111764705882353,0.0576617647058823
tomato,red,black,red tomato,0.025,0.00625,0.053125
tomato,red,blue,red tomato,0.052,0.0153482142857143,0.0964464285714286
tomato,red,brown,red tomato,0.16,0.0803303571428571,0.249294642857143
tomato,red,green,red tomato,0.084,0.0360535714285714,0.1443125
tomato,red,orange,red tomato,0.12,0.057804347826087,0.200913043478261
tomato,red,pink,red tomato,0.198,0.130327586206897,0.271396551724138
tomato,red,red,red tomato,0.858,0.819995833333333,0.893345833333333
tomato,red,yellow,red tomato,0.063,0.0186666666666667,0.11535
