condition,target,priorWeight,label,prob
item12,coffeeTable,0.05,type,0.4309
item12,coffeeTable,0.05,basicLevel,0.3863
item12,coffeeTable,0.05,superDomain,0.1829
item12,diningTable,0.05,type,0.4226
item12,diningTable,0.05,basicLevel,0.3919
item12,diningTable,0.05,superDomain,0.1855
item12,picnicTable,0.05,type,0.4221
item12,picnicTable,0.05,basicLevel,0.3922
item12,picnicTable,0.05,superDomain,0.1857
item12,bedsideTable,0.05,type,0.4075
item12,bedsideTable,0.05,basicLevel,0.4022
item12,bedsideTable,0.05,superDomain,0.1904
item22,coffeeTable,0.05,type,0.3108
item22,coffeeTable,0.05,basicLevel,0.5573
item22,coffeeTable,0.05,superDomain,0.1319
item22,diningTable,0.05,type,0.3036
item22,diningTable,0.05,basicLevel,0.5631
item22,diningTable,0.05,superDomain,0.1333
item22,picnicTable,0.05,type,0.3032
item22,picnicTable,0.05,basicLevel,0.5634
item22,picnicTable,0.05,superDomain,0.1334
item22,bedsideTable,0.05,type,0.2906
item22,bedsideTable,0.05,basicLevel,0.5736
item22,bedsideTable,0.05,superDomain,0.1358
item23,coffeeTable,0.05,type,0.2916
item23,coffeeTable,0.05,basicLevel,0.5228
item23,coffeeTable,0.05,superDomain,0.1856
item23,diningTable,0.05,type,0.2847
item23,diningTable,0.05,basicLevel,0.5279
item23,diningTable,0.05,superDomain,0.1874
item23,picnicTable,0.05,type,0.2843
item23,picnicTable,0.05,basicLevel,0.5282
item23,picnicTable,0.05,superDomain,0.1875
item23,bedsideTable,0.05,type,0.2721
item23,bedsideTable,0.05,basicLevel,0.5372
item23,bedsideTable,0.05,superDomain,0.1907
item33,coffeeTable,0.05,type,0.2459
item33,coffeeTable,0.05,basicLevel,0.4409
item33,coffeeTable,0.05,superDomain,0.3131
item33,diningTable,0.05,type,0.2397
item33,diningTable,0.05,basicLevel,0.4446
item33,diningTable,0.05,superDomain,0.3157
item33,picnicTable,0.05,type,0.2394
item33,picnicTable,0.05,basicLevel,0.4448
item33,picnicTable,0.05,superDomain,0.3159
item33,bedsideTable,0.05,type,0.2285
item33,bedsideTable,0.05,basicLevel,0.4511
item33,bedsideTable,0.05,superDomain,0.3204
