Utterance,condition,target,alt1,alt2,Probability,withoutProbability,Diff
basic,item23,bedsidetable,ambulance,bed,0.232150116995457,0.608938080430246,-0.376787963434789
super,item23,bedsidetable,ambulance,bed,0.0519226840117627,0.0395609416141226,0.0123617423976401
sub,item23,bedsidetable,ambulance,bed,0.714703031751356,0.347364917621084,0.367338114130272
sub,item12,diningtable,bookcase,sidetable,0.290927096767162,0.676747995119696,-0.385820898352534
sub,item12,diningtable,bed,sidetable,0.293328556905707,0.676747995119696,-0.383419438213989
super,item12,diningtable,bed,sidetable,0.0461512698231988,0.0304914876050572,0.0156597822181416
super,item12,diningtable,bookcase,sidetable,0.0732283168817977,0.0304914876050572,0.0427368292767405
basic,item12,diningtable,bookcase,sidetable,0.645047441357964,0.282253367027691,0.362794074330273
basic,item12,diningtable,bed,sidetable,0.667031327013127,0.282253367027691,0.384777959985436
basic,item12,hummingbird,chick,snake,0.213101509885126,0.719665289506629,-0.506563779621503
basic,item12,hummingbird,chick,crocodile,0.215012419001649,0.719665289506629,-0.50465287050498
basic,item12,hummingbird,bed,chick,0.198368337486731,0.682977549022882,-0.484609211536151
super,item12,hummingbird,chick,snake,0.0147278171801409,0.0138643870258728,0.0008634301542681
super,item12,hummingbird,chick,crocodile,0.0147511212198232,0.0138643870258728,0.000886734193950401
super,item12,hummingbird,bed,chick,0.0751731167889838,0.0647311992120564,0.0104419175769274
sub,item12,hummingbird,bed,chick,0.734300921485152,0.248082626975269,0.486218294509883
sub,item12,hummingbird,chick,crocodile,0.775571865071235,0.263103547424606,0.512468317646629
sub,item12,hummingbird,chick,snake,0.777489660817051,0.263103547424606,0.514386113392445
